Título de la pista,Artista,BPM,Tiempo,Tonalidad,Ubicación,Comentarios,Fecha añadida
Fresh & Clean,Jaz Elise,"101,00",3:04,Fm,/Users/Hit/Desktop/AIb2bDJ - Final/Jaz Elise - Fresh & Clean.mp3,5A,2022-03-21
Juicy - by Museekal,Doja Cat,"85,00",3:09,Dm,/Users/Hit/Desktop/AIb2bDJ - Final/Juicy - by Museekal.mp3,7A,2022-03-21
Momo (Mobile Money),Kelvyn Boy;Mugeez;DarkoVibes,"108,00",4:11,Gm,/Users/Hit/Desktop/AIb2bDJ - Final/Kelvyn Boy - Momo (Mobile Money).mp3,6A,2022-03-21
Kumbaza,Chuckie,"128,00",2:32,Gm,/Users/Hit/Desktop/AIb2bDJ - Final/Kumbaza.mp3,6A,2022-03-21
Like Glue,Sean Paul,"97,90",3:57,Db,/Users/Hit/Desktop/AIb2bDJ - Final/Like Glue.mp3,3B,2022-03-21
Amigo,Lous and The Yakuza,"118,00",2:35,Fm,/Users/Hit/Desktop/AIb2bDJ - Final/Lous and The Yakuza - Amigo.mp3,4A,2022-03-21
Ninia,Maria Sioke;Pedro LaDroga,"94,00",3:09,Abm,/Users/Hit/Desktop/AIb2bDJ - Final/Maria Sioke - Ninia.mp3,1A,2022-03-21
My Circle Remix (Dirty),"Donaeo ft. Cadet, Wiley, & Ghetts","128,00",4:16,Db,/Users/Hit/Desktop/AIb2bDJ - Final/My Circle Remix (Dirty).mp3,12A,2022-03-21
Frontline,Pa Salieu,"97,50",3:21,Cm,/Users/Hit/Desktop/AIb2bDJ - Final/Pa Salieu - Frontline.mp3,5A/4A,2022-03-21
Queen's Speech Ep.3,Lady Leshurr,"128,00",3:31,F#m,/Users/Hit/Desktop/AIb2bDJ - Final/Queen's Speech Ep.3.mp3,11A,2022-03-21
Rover (feat. DTG),S1mba;DTG,"108,00",2:47,Bm,/Users/Hit/Desktop/AIb2bDJ - Final/S1mba - Rover (feat. DTG).mp3,10A,2022-03-21
Tap In,Saweetie,"100,00",2:19,B,/Users/Hit/Desktop/AIb2bDJ - Final/Saweetie - Tap In.mp3,5A,2022-03-21
Dobale,Shaybo,"97,00",2:34,E,/Users/Hit/Desktop/AIb2bDJ - Final/Shaybo - Dobale.mp3,9A,2022-03-21
Ya Dun Know,Shaybo,"100,00",2:45,Gm,/Users/Hit/Desktop/AIb2bDJ - Final/Shaybo - Ya Dun Know.mp3,6A,2022-03-21
Tú Me Haces Sentir,Swallow X;Nico Miseria,"113,00",3:28,Bm,/Users/Hit/Desktop/AIb2bDJ - Final/Swallow X - Tú Me Haces Sentir.mp3,,2022-03-21
SWISH (Dirty),Tyga,"105,00",3:13,E,/Users/Hit/Desktop/AIb2bDJ - Final/SWISH (Dirty).mp3,12B,2022-03-21
Top Winners (feat. Not3s),Tinie;Not3s,"108,00",2:51,Cm,/Users/Hit/Desktop/AIb2bDJ - Final/Tinie - Top Winners (feat. Not3s).mp3,5A,2022-03-21
Under Water,Vybz Kartel,"93,00",3:00,Fm,/Users/Hit/Desktop/AIb2bDJ - Final/Vybz Kartel - Under Water.mp3,4A,2022-03-21
Essence (feat. Tems),Wizkid;Tems,"104,00",4:08,Em,/Users/Hit/Desktop/AIb2bDJ - Final/Wizkid - Essence (feat. Tems).mp3,8A,2022-03-21
Santa Maria,Bad Gyal;Busy Signal,"107,00",2:34,Em,/Users/Hit/Desktop/AIB2B2/1-01 Santa Maria.mp3,9A,2020-02-29
Moody!,Jean Deaux,"84,50",1:45,Am,/Users/Hit/Desktop/+100/Jean Deaux - Moody!.mp3,9A,2022-02-08
Plum,Omega Sapien,"87,00",2:39,Abm,/Users/Hit/Desktop/+100/Omega Sapien - Plum.mp3,2A,2022-02-08
"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]",La Pantera,"87,00",6:53,Cm,"/Users/Hit/Desktop/+100/La Pantera - Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix].mp3",5A,2022-02-08
Hello Kitty,OH!DULCEARi,"80,00",1:39,Ebm,/Users/Hit/Desktop/+100/OH!DULCEARi - Hello Kitty.mp3,2A,2022-02-08
BOBO,Mariah Angeliq,"92,00",3:44,Abm,/Users/Hit/Desktop/+100/Mariah Angeliq - BOBO.mp3,1A,2022-02-08
Palo,Puri,"95,00",2:45,Am,/Users/Hit/Desktop/+100/Puri - Palo.mp3,9A,2022-02-08
Flow 2000,Bad Gyal,"95,10",2:35,F#m,/Users/Hit/Desktop/+100/Bad Gyal - Flow 2000.mp3,10A,2022-02-08
Kitten Heel,Isabella LoveStory,"98,00",2:31,F#m,/Users/Hit/Desktop/+100/Isabella LoveStory - Kitten Heel.mp3,4A,2022-02-08
Vay,Dj Leska,"98,00",3:39,Am,/Users/Hit/Desktop/+100/Dj Leska - Vay.mp3,8A,2022-02-08
D O D O,Tayc,"99,00",2:59,Bbm,/Users/Hit/Desktop/+100/Tayc - D O D O.mp3,4A,2022-02-08
ZaZoo Zehh,Pocolee,"132,00",3:34,F,/Users/Hit/Desktop/+100/Pocolee - ZaZoo Zehh.mp3,7B,2022-02-08
Sola,Sangre Nueva,"100,00",4:09,Cm,/Users/Hit/Desktop/+100/Sangre Nueva - Sola.mp3,5A,2022-02-08
