,name,artist,youtube_id,youtube_title,youtube_published,youtube_views,youtube_duration,youtube_duration_sec,youtube_channel,n_comments,genre,average_bpm
2848,Controlla,Drake,Mg-QZCp1v1c,Drake - Controlla,1 year ago,5914175.0,4:06,246.0,Young Money Entertainment,250,Hip-Hop/Rap,93.5
2864,One Dance (feat. Wizkid & Kyla),Drake,iAbnEUA0wpA,One Dance-Drake (feat. Wizkid & Kyla),2 years ago,113200099.0,2:55,175.0,Chris Obando,292,Hip-Hop/Rap,104.0
2899,Fake Love,Drake,8xqmcc2qlEQ,Drake - Fake Love,3 months ago,143693.0,3:32,212.0,YM Records,24,Hip-Hop/Rap,134.0
2943,Chop Chop,DyDy;Gold Gad,7t0mWYE0Pxg,"Dydy, Gold Gad - Chop Chop (Official Music Video)",11 months ago,464594.0,2:49,169.0,GoldGadMusic,1180,Reggae;Dancehall/Ragga,99.0
3012,Gotta Have It,Equator Club & Aztek,F3V9Fag4w0U,Equator Club & Aztek - Gotta Have It,8 years ago,37422.0,4:01,241.0,Eton Messy,39,,135.0
3018,Martina,Eso.XO.Supreme,Mi8Mgh6aMRc,Eso.Xo.Supreme - Martina (Official Video) (Explicit),3 years ago,276184.0,3:44,224.0,Eso.Xo.Supreme,48,R&B/Soul,79.01
3042,Body (feat. Mr Eazi),Eugy,catgBmmMXmw,Eugy ft Mr Eazi - Body (Official Video) | prod. by Team Salut,5 years ago,9260767.0,3:36,216.0,Eugy,608,,100.0
3043,Hinode,Fakear,e6AKA_93uKE,Fakear - Hinode,8 years ago,692618.0,4:03,243.0,Fakear,53,,172.0
3055,Brrrrrr (What Happened?) ,Falcons,ACOo8ROscDE,Falcons - Brrrrrr (What Happened),6 years ago,130077.0,3:39,219.0,Trap City,25,└A,90.0
3108,Gyal Dem Move,Falcons & Juelz,yzobwQOZ6OU,Falcons & Juelz - Gyal Dem Move,5 years ago,59926.0,3:46,226.0,TrapMusicHD,22,,130.0
3187,What's Luv - ZIGGY & Praia Del Sol 2018 Remix,Fat Joe ft. Ashanti,OKpiqSmFCFE,Fat Joe - What's Luv? ft. Ashanti (ZIGGY X Praia del Sol Remix),2 years ago,21864.0,2:58,178.0,Brazilian Music Tv,26,,102.0
3226,Go Back Home,FKJ,CoyOjv7eVLM,FKJ - Go Back Home,4 years ago,1100636.0,3:56,236.0,Roche Musique,75,Electronic,96.0
3235,The GTW & Bengfang - Cravings,Flight Facilities,ASw_hrAmA7A,The GTW & Bengfang - Cravings,8 years ago,814953.0,2:26,146.0,Majestic Casual,116,,133.0
3257,Paper Thin,Flume,CsFjjbyqZeo,Flume - Paper Thin,10 years ago,5078639.0,2:59,179.0,Flume,557,,95.0
3294,Pumped Up Kicks (Gigamesh Remix),Foster The People,sv5Vd0amTBc,Foster The People - Pumped Up Kicks Gigamesh Remix,9 years ago,100020.0,5:07,307.0,Musicanabee,30,Waves ≠ Raves vol. 10,128.0
3311,Lookin Exotic,Future,zLuY1bgWxrI,Future - Lookin Exotic (HNDRXX),4 years ago,658770.0,3:41,221.0,New Music Friday,82,Hip-Hop/Rap,152.0
