name,artist
Very First Breath (feat. Irfane),Hudson Mohawke
Passports (feat. Remy Banks),Hudson Mohawke
Foxy Boxing,Hudson Mohawke
Thunder Bay,Hudson Mohawke
Maniac,Hyper Crush
Shade (Dirty),IAMDDB
G.A.F,IAMDDB
Hipster Girls,Iamsu!
Cucumber,J Hus
Good Time - Satoru Club Edit (Dirty),J Hus ft. Burna Boy
Big Conspiracy,J Hus;iceè tgm
Repeat,J Hus;Koffee
Afterglow (Original Mix),Jacques Greene
You Can't Deny,Jacques Greene
Wasteman,Jada Kingdom;Stalk Ashley
Track 16,Jai Paul
Girl,Jamie xx
Hold Tight,Jamie xx
I Know There's Gonna Be (Good Times) [feat. Young Thug & Popcaan],Jamie xx
Obvs,Jamie xx
SeeSaw (feat. Romy),Jamie xx
Stranger In a Room (feat. Oliver Sim),Jamie xx
The Rest Is Noise,Jamie xx
Fresh & Clean,Jaz Elise
Insecure,Jazmine Sullivan & Bryson Tiller
Qui (YYIOY Remix),Jeremih
Faux pa ,Joey Mccrilley
Snooze,Johnny Yukon
On My Mind,Jorja Smith & Preditah
Be Honest (feat. Ms Banks) (Cadenza & AoD Remix),Jorja Smith;Ms Banks
Banku Dade,Jowaa
LLÁMAME,Juicy BAE
Normal,Juls;Kojey Radical
Take Back The Night (Pat Lok 'Day x Nite' Remix),Justin Timberlake
Love Sex Magic (Bodhi Remix),Justin Timberlake Feat. Ciara
Tyrant (feat. Jorja Smith),Kali Uchis
I Love It (Dirty),Kanye West & Lil Pump ft. Adele Givens
Tusa,Karol G;Nicki Minaj
Til The Morning (SNAKEHIPS REMIX),Kehlani
CRZY ,Kehlani 
Momo (Mobile Money),Kelvyn Boy;Mugeez;DarkoVibes
DNA.,Kendrick Lamar
HUMBLE.,Kendrick Lamar
All The Stars (Dirty),Kendrick Lamar & SZA
Turn Me On,Kevin Lyttle
Day 'N' Nite,Kid Cudi
Doin' My Thing (Featured In She's Out Of My League),King Juju
So Fine,Klaves
Come On,Klaves
Will You,Klaves
Mamacita,KM;Frenna;Jonna Fraser
Dollar Sines,KRNE
iSpy (feat. Lil Yachty),KYLE
Young Hearts Run Free,Kym Mazelle
NA - Ecstacy (L-Vis Edit),L-Vis 1990
Meisje,LA$$A;LouiVos;Geechi;Frsh
Queen's Speech Ep.3,Lady Leshurr
Fly Away (Poolside Edit),Laid Back
Picaflor,Lao Ra;C. Tangana
Been a Minute,Last Night In Paris
Boing Boing,Lauwtje;Famke Louise;Poke
Rayon,Letherette
Where I Be,Liable
Faded (Rusty Hook Flip),Lido x ZHU
Wonder Woman (NVOY Remix),LION BABE
Juice,Lizzo
Mujer Bruja,Lola Indigo;Mala Rodríguez
Amigo,Lous and The Yakuza
Party Girls (Sinjin Hawke Remix),"Ludacris, Jeremih, Cashmere Cat, Wiz Khalifa"
Distrust ft. Denzel Curry,Lunice
Partout,Lunice
Isometrix (Original Mix),Machinedrum
Spectrum Sequence (Original Mix),Machinedrum
Tell U feat. Rochelle Jordan (Original Mix),"Machinedrum, Rochelle Jordan"
