,name,artist,youtube_id,youtube_title,youtube_published,youtube_views,youtube_duration,youtube_duration_sec,youtube_channel,n_comments,genre,average_bpm,subdir,subdir_idx
132,ghanaboyz challenge (somji edition) [feat. manlikestunna],DJ Flex,5T3DFKUmHHU,DJ Flex - GhanaBoyz Challenge Feat. ManLikeStunna & Asante Jr (SOMJI Edition),3 years ago,339545.0,1:58,118.0,DJ Flex,34,Músicas del mundo,138.0,main,2571
134,"olhei, gostei (feat. ludmilla)",DJ Lindão;Ludmilla,Q3tNBHKH0l0,LUDMILLA E DJ LINDÃO - OLHEI GOSTEI ( Audio Oficial ),1 year ago,2962298.0,2:36,156.0,DJ LINDÃO OFICIAL,232,Brazilian Music;Soul & Funk,150.0,main,2623
140,juicy - by museekal,Doja Cat,YIALlhlyqO4,"Doja Cat, Tyga - Juicy (Official Video)",1 year ago,230618980.0,3:19,199.0,Doja Cat,597,,85.0,main,2674
143,bandoe (dirty),Donae'o ft. Don E,stBRqwLn7dU,Don E - Bandoe (Produced by Donaeo) | Link Up TV,3 years ago,381331.0,3:13,193.0,Link Up TV,121,,128.0,main,2707
146,my circle remix (dirty),"Donaeo ft. Cadet, Wiley, & Ghetts",j-Sc8mKL8Og,Donae'o - My Circle (RMX) Feat. Cadet & Ghetts | @donaeo | Link Up TV,5 years ago,288079.0,4:03,243.0,Link Up TV,100,,128.0,main,2747
148,cartier (feat. chivv & 3robi),Dopebwoy,KSWRu9b_1-4,Dopebwoy - Cartier ft. Chivv & 3robi,4 years ago,111024500.0,4:12,252.0,Avalon Music,832,Hip-Hop/Rap,127.0,main,2760
150,santo domingo,Dopebwoy;Yxng Bane,JTkUTZDT62Q,Dopebwoy - Santo Domingo ft. Yxng Bane (prod. SRNO),2 years ago,7203784.0,2:45,165.0,Avalon Music,395,Rap/Hip Hop,98.0,main,2813
152,marimba rija,Dotorado Pro,EtA_0rvRgAM,Dotorado Pro - Marimba Rija,5 years ago,497656.0,3:01,181.0,ENCHUFADA,42,Electronic,130.0,main,2846
158,chop chop,DyDy;Gold Gad,7t0mWYE0Pxg,"Dydy, Gold Gad - Chop Chop (Official Music Video)",11 months ago,464594.0,2:49,169.0,GoldGadMusic,1180,Reggae;Dancehall/Ragga,99.0,main,2943
169,gyal dem move,Falcons & Juelz,yzobwQOZ6OU,Falcons & Juelz - Gyal Dem Move,5 years ago,59926.0,3:46,226.0,TrapMusicHD,22,,130.0,main,3108
194,cash train (feat. not3s & blade brown),GRM Daily;Not3s;BLADE BROWN,AxQezC6YvYs,Not3s x Blade Brown - Cash Train [Music Video] | #GRM10,1 year ago,3420940.0,3:11,191.0,GRM Daily,561,Rap/Hip Hop,98.0,main,3523
200,addio mare (feat. astroboi),Highkili;Astroboi,WV4G9eWTAeA,ADDIO MARE - HIGHKILI,7 months ago,8624.0,3:12,192.0,HIGHKILI Hi-Ki,13,Reggaeton,96.0,main,3634
212,hipster girls,Iamsu!,z8emZMYkkwk,"Iamsu! ""Hipster Girls"" [OFFICIAL VIDEO] Dir. Aris Jerome",7 years ago,970422.0,3:22,202.0,HBK Gang,167,Hip-Hop/Rap,129.0,main,3799
220,wasteman,Jada Kingdom;Stalk Ashley,dRBMY4WCfj8,"Jada Kingdom, Stalk Ashley - Wasteman (Official Audio)",2 years ago,2338838.0,3:30,210.0,Jada Kingdom,704,Reggae,90.0,main,3925
230,fresh & clean,Jaz Elise,eaZ6t2IKAmo,Jaz Elise- Fresh & Clean (Official Video),1 year ago,807651.0,3:13,193.0,Jaz Elise,514,Reggae;Dancehall/Ragga,101.0,main,4050
239,banku dade,Jowaa,TxX2qHbvSfE,Jowaa - Banku Dade,4 years ago,39993.0,3:37,217.0,ENCHUFADA,14,,126.0,main,4315
241,llamame,Juicy BAE,Q0hHgpKINHY,JUICY BAE - LLÁMAME (Prod. Paul Married & Red Cloud),1 year ago,61799.0,3:00,180.0,JUICY BAE,112,R&B,75.0,main,4319
243,normal,Juls;Kojey Radical,sSMYwMESizI,Juls - Normal ft. Kojey Radical,2 years ago,352304.0,3:43,223.0,Juls baby,116,,130.0,main,4384
254,momo (mobile money),Kelvyn Boy;Mugeez;DarkoVibes,kVP2rG3k8ic,Kelvynboy - MOMO feat. DarkoVibes & Mugeez (Official Video),1 year ago,772515.0,4:15,255.0,Kelvyn Boy,524,,108.0,main,4692
260,day 'n' nite,Kid Cudi,VrDfSZ_6f4U,Kid Cudi - Day 'N' Nite,11 years ago,170765320.0,3:08,188.0,Kid Cudi,363,,138.0,main,4784
266,mamacita,KM;Frenna;Jonna Fraser,NnxhgSrJtpY,KM - Mamacita ft. Frenna & Jonna Fraser (prod. Spanker),2 years ago,3427224.0,3:15,195.0,TopNotch,462,Rap/Hip Hop,130.0,main,4846
271,meisje,LA$$A;LouiVos;Geechi;Frsh,_1YIOYUfadY,LA$$A x LouiVos x Geechi x Frsh - Meisje,2 years ago,1422603.0,2:50,170.0,Life of Lassa,127,Rap/Hip Hop,108.0,main,5005
272,queen's speech ep.3,Lady Leshurr,PVeT27F8CPY,Lady Leshurr - Queen's Speech Ep.3,6 years ago,17946800.0,3:32,212.0,Lady Leshurr,1981,,128.0,main,5012
278,boing boing,Lauwtje;Famke Louise;Poke,11Ci36RXqtw,Lauwtje - Boing Boing ft. Famke Louise & Poke (prod. Esko & Krankjoram),2 years ago,4343048.0,3:24,204.0,Van Klasse,1275,Rap/Hip Hop,100.0,main,5111
286,amigo,Lous and The Yakuza,PNGwThvjadY,Lous and The Yakuza - Amigo (Clip officiel),10 months ago,1546045.0,2:37,157.0,Lous and the Yakuza,603,Rap/Hip Hop,118.0,main,5279
