Name	Artist	Genre	AverageBpm	Comments
Zulu Carnival	Tony Quattro		126.00	10B
Affairage	Toofan		120.00	8A
RIDE (Falcons Bootleg)	Tory Lanez	Presex	132.01	12A
Slowments	Touch Sensitive	Aftersex	110.00	12B
Run	Tourist	Electronic	126.00	3B
goosebumps	Travis Scott	Hip-Hop/Rap	130.00	9A
HIGHEST IN THE ROOM	Travis Scott	Rap/Hip Hop	153.00	
Mahabbah	Tropkillaz	Electronic	103.00	8A
Recognise Real	TroyBoi		130.00	8A
og-bobby	TweRL		176.00	4A
So Am I	Ty Dolla $ign ft. Damian Marley & Skrillex		85.00	8A - Energy 7
1 of 1 (Original Mix)	Tyga	Hip-Hop	98.00	3A
Faded (Explicit) ft. Lil Wayne	Tyga		95.02	8B
SWISH (Dirty)	Tyga		105.00	
Taste - CHILDSPLAY Remix (Dirty)	Tyga ft. Offset		103.00	4A
Hookah	Tyga;Young Thug	Rap/Hip Hop	95.00	11B
Masquerade	Umii, Reva DeVito & B. Bravo	Soul	107.20	4B - Energy 5
Sico Vox - Pump Up The Jam	Up. Records	Other	128.00	
Break Point	UZ	Hip-Hop	105.00	6B
BUK	Valsbezig	Rap/Hip Hop	102.00	4A
2 Step (Crazy Cousinz Remix) Featuring Doctor	Vato Gonzalez	Funky	123.00	5A
Ghost (feat. Vince Staples) (Original Mix)	Vince Staples, With You.	Hip-Hop	114.00	8A
Anoché	Von Alexander	Rap/Hip Hop	81.00	12A
Always Forever (Debukas Remix)	Vondelpark	Electronic	118.00	4A
Clarks (feat. Popcaan & Gaza Slim)	Vybz Kartel	Reggae	99.00	5B
Proper English	Vybz Kartel	Modern Dancehall	87.30	4A
Real Bad Gal	Vybz Kartel	Reggae	100.00	5A
Under Water	Vybz Kartel	Reggae;Dancehall/Ragga	93.00	4A
My PYT [OFFICIAL MUSIC VIDEO]	Wale 		97.00	8A
Messeh	Walter Ego		133.00	6B
Fruit Punch	Walter Ego	UK Funky	128.00	7A
Tur-Key Nla	Wande Coal	Rap/Hip Hop	125.00	8A
Marvin	Wayward 		115.00	3B
Alone (Original Mix)	WD2N	Indie Dance / Nu Disco	123.00	4A
love falls	wesley™		103.38	4A
Move Me (TÂCHES Remix)	Wet		117.00	8A
With U Feat. KDN	Whynot		86.04	3B - Energy 6
Sapphire	Wi-Fiji	<3	113.98	5B
Boasty (Grandtheft x Wuki Dub)	Wiley & Sean Paul & Stefflon Don feat. Idris Elba		124.00	2A
Let U Know Ft. Zilo	Wilfred Giroux		130.00	10A
Daddy Yo	Wizkid		99.00	8A
No Stress	Wizkid		100.00	
Essence (feat. Tems)	Wizkid;Tems	R&B	104.00	8A
Witching Hour	XXYYXX		133.00	11B
Tik Tok (Y2K & ALIZZZ REMIX)	Y2K & Alizzz	Electrónica	132.00	9A
Toxic (BSN Posse -Addicted 2 You- Rework)Ownmaster V.3	Yael Naim 		160.00	2A
If You Leave	Yahtzel		145.00	9A
Lean	Yaw Mini	Afrobeat	92.00	7A
Vem Pro Beco	YBRYD		150.00	Visit https://sophisticateddelinquency.bandcamp.com
Talk Less	Ye Ali	R&B	90.00	8B
Johnny	Yemi Alade	Músicas del mundo	125.00	6A
New Bike	Yibril Rue;Mishii	Rap/Hip Hop;Dirty South	118.00	6B
We Back	Youan		124.00	3A
4x4	Young T & Bugsey	Hip-Hop	104.00	11A - Energy 5
Don't Rush	Young T & Bugsey;Headie One	Rap/Hip Hop	108.00	12A
OEFF	Yung Felix;Poke	Rap/Hip Hop	120.00	12B
Mr Lova	Yung Felix;Zefanio;Ir Sais	Rap/Hip Hop	95.00	5A
Kyoto (Habstrakt Flip)	Yung Lean		120.00	10A
Lovely	YYIOY		134.01	3A
OH	YYIOY		140.00	8A
Hold Me	YYIOY		125.00	4A
Lovely	YYIOY		134.00	3A
OH	YYIOY		140.00	8A
Hold Me	YYIOY		125.00	4A
CAN YOU ALL REALLY FEEL ME	YYIOY		132.00	5A
Wait For	Yyioy		132.01	5A
MUNDIAN TO BACH KE YYIOY x Tearss Club Edit	YYIOY x Tearss Club		128.00	5B
Heatbroken YYIOY Bootleg	YYOIY		132.00	5A
Dun Talk (Zoltan Remix) Featuring Riko Dan	Ziro	Funky	128.00	8A
ANDROMEDA	Lauren nine		87.96	
VOODOO	Lauren nine		85.50	
INSTANTES	Lauren nine		119.08	
FOREVER YOURS	Lauren nine		140.00	
SURT DEL MEU CAP	Lauren nine		102.00	
NAUGHTY WORLD 	Lauren nine		100.00	
SOMEBODY	Lauren nine		84.76	
ME VOY PAL CIELO	Lauren nine		120.00	
METAMORFICA	Lauren nine		128.00	
DIME QUÉ QUIERES SABER	Lauren nine		130.00	
ROSE QUARZT	Lauren nine		115.00	
MARINERO	Lauren nine		82.50	
