Name	Artist	Genre	AverageBpm	Comments
Benjamins (Memeb Remix) Master	CVIRO & GXNXVS		95.00	11A
Perfect Form	Cyril Hahn feat. Shy Girls 		123.00	4B
Bam Bam (feat. TT The Artist) [Kking Kong Remix]	D-DOTs	Dance	130.00	5A
Crying At The Discoteque	D.J.Ibiza Dance	Dance;Pop	138.00	8A
BOP	DaBaby	Rap/Hip Hop	127.00	1A
Doin' it right	Daft Punk		89.07	2B
Better	Dallas Hill	Hip-Hop/Rap	95.00	1B
Get You (feat. Kali Uchis)	Daniel Caesar	R&B/Soul	148.00	10A
Lil Bebe	DaniLeigh	Rap/Hip Hop	136.00	5A
All I Know	DaniLeigh ft. Kes		95.00	
Broken Flowers	Danny L Harle		122.00	8A
Awake for Hours	Danny L Harle		93.23	
Alicia	Darius & Crayon		112.00	
Ends	Darrein Safron	R&B/Soul	82.00	6A
Kandi	Dave B.	Electronic	172.05	10A - Energy 5
4 Life	David Meli;Jugglerz		104.00	7A
Say True	Deech		130.00	
7SUNS (Prod. by Awwz)	Demmy Sober	#shower	130.00	
7SUNS (Prod. by Awwz)	Demmys Sober		130.00	12B
All Your Goodies Are Gone feat. Mayer Hawthorne (Shigeto remix)	Dennis Coffey	Electronic Soul	109.50	6A
Up (Audio)	Desiigner 		72.00	6A
Drop That Ass	DevelopMENT	Other	128.00	11A
My Friends extended mix	DEVolution	Bass	129.00	3A
Flow (Zoo Look Remix)	DFRNT & Fault Lines		122.00	7A
$Copie (Salon Acapulco remix)M1	Die Antwoord 		126.00	8B
You & Me (feat. Eliza Doolittle) (Flume Remix)	Disclosure		150.00	3A
What's In Your Head (Mak & Pasteman Remix)	Disclosure	Electro	128.00	7A
Disclosure - Tenderly (Melé Remix)	Disclosure		148.00	9A
Holding On (feat. Gregory Porter)	Disclosure	Электронная музыка	124.00	7B
When A Fire Starts To Burn	Disclosure	Electronica	124.00	10B
F For You	Disclosure	Electronica	124.00	2A
You & Me (Flume Remix)	Disclosure;Eliza Doolittle	Electro	150.00	3A
Any Key	Dismantle	Funky	128.00	4A
Huntsman	Dismantle	Funky	127.00	8A
Omunye (feat. Benny Maverick and Dladla Mshunqisi)	Distruction Boyz	Dance	126.03	9A
Soundbwoy Rudebwoy (Bianca Oblivion REMIX)	DJ co.kr		130.00	6A
GhanaBoyz Challenge (SOMJI Edition) [feat. Manlikestunna]	DJ Flex	Músicas del mundo	138.00	4A
Good Comfort	DJ Frass;Shenseea	Reggae	100.00	8A
Work From Home DJ Ghetto Pek Nyan-Nyan You Are So Hard Edit	DJ Ghetto Pek		150.00	12B
Bad & Boujee 	DJ Jayhood x DJ Sliink (Jersey Club Remix)		140.00	2A
Olhei, gostei (feat. Ludmilla)	DJ Lindão;Ludmilla	Brazilian Music;Soul & Funk	150.00	12B
Deep Inside RMX	DJ Mike Gip "The Handsome DJ"	Club	134.00	8A
Real Bad Gal	DJ Mozes x Slick Vick	DANCEHALL	102.00	5A
Road To Eyadini	DJ Ngamla No Tarenzo	Afro House	126.00	6A
Signet	DJ Polo	Funky	127.00	1A
Be Mine (feat Kai Ryder)	DJ Q	Bass	132.00	1B
Get Over You	DJ Q	Bass	132.00	3A
Fuck It up Challenge	DJ Telly Tellz	Dance	155.21	9A
Watch How Mi Dweet feat. Logan	Dj Tess;Logan	Electro	130.00	5A
Mafa Mafa	DMW;DaVido;The Flowolf;Peruzzi;Dremo	Pop	121.00	
Creator	Doctor Jeep		127.00	4A
Juicy - by Museekal	Doja Cat		85.00	7A
SIROJ - BODYGROOVE BAILE (Mayor Edit)	Don Mayor		128.00	4A
Blackstreet - Can't Get You Out Of My Mind (Mayor Bounce Edit)	Don Mayor	Edits	174.00	6A
Hossam Ramzy - Khusara Khusara (Mayor Edit)	Don Mayor		147.00	8B
Keith Sweat - Twisted (Mayor Edit)	Don Mayor		84.00	
Sango - Três Horas (Mayor Edit)	Don Mayor		130.05	11A
Contando Lunares (feat. Cruz Cafuné)	Don Patricio;Cruz Cafuné	Rap/Hip Hop;Latin Music	106.00	9A
Bandoe (Dirty)	Donae'o ft. Don E		128.00	9A
Polo (Dirty)	DonaeO	Funky	128.00	11A
